Size of Change,Seed,Method,Cluster,Value
weak,13,Oracle,0,183.24275340933755
weak,13,Oracle,1,179.36414926187726
weak,13,Oracle,2,179.1443769782648
weak,14,Oracle,0,179.8847012779996
weak,14,Oracle,1,182.07060617398977
weak,14,Oracle,2,179.1970768678065
weak,15,Oracle,0,175.11566519732995
weak,15,Oracle,1,179.24661606224151
weak,15,Oracle,2,181.26998569975115
weak,16,Oracle,0,183.97241495754207
weak,16,Oracle,1,181.3577952105753
weak,16,Oracle,2,179.75560053540696
weak,17,Oracle,0,182.63159157188903
weak,17,Oracle,1,178.78618131558085
weak,17,Oracle,2,180.2478558452503
weak,18,Oracle,0,183.5059103521396
weak,18,Oracle,1,180.18844902359865
weak,18,Oracle,2,182.45485105738732
weak,19,Oracle,0,182.41876489491574
weak,19,Oracle,1,179.60281537107886
weak,19,Oracle,2,180.5594526986344
weak,20,Oracle,0,182.93664157083873
weak,20,Oracle,1,180.34354137687558
weak,20,Oracle,2,179.9106127307041
weak,21,Oracle,0,182.8145121076962
weak,21,Oracle,1,180.62707523245356
weak,21,Oracle,2,181.2513235685845
weak,22,Oracle,0,184.2350830233904
weak,22,Oracle,1,181.48520132476472
weak,22,Oracle,2,181.1215049835593
weak,23,Oracle,0,182.7226763668899
weak,23,Oracle,1,178.35556740162866
weak,23,Oracle,2,180.76089832936043
weak,24,Oracle,0,182.42706878351717
weak,24,Oracle,1,179.09120491041915
weak,24,Oracle,2,180.8885722764564
weak,25,Oracle,0,182.3348515711518
weak,25,Oracle,1,179.2370534889177
weak,25,Oracle,2,180.80579004736887
weak,26,Oracle,0,180.7318995246548
weak,26,Oracle,1,180.72877582828906
weak,26,Oracle,2,180.4331230329529
weak,27,Oracle,0,181.55604209982877
weak,27,Oracle,1,178.79585797943008
weak,27,Oracle,2,179.4598911936165
weak,28,Oracle,0,183.41477081181037
weak,28,Oracle,1,178.83180478927756
weak,28,Oracle,2,180.3901567494461
weak,29,Oracle,0,181.60659156972034
weak,29,Oracle,1,180.13310724417616
weak,29,Oracle,2,178.88590949355893
weak,30,Oracle,0,184.0908509253398
weak,30,Oracle,1,178.37655777075437
weak,30,Oracle,2,181.69911531191389
weak,1,Stationary + Homogeneity,0,174.66723921233438
weak,1,Stationary + Homogeneity,1,177.11056492515615
weak,1,Stationary + Homogeneity,2,179.6836277729331
weak,2,Stationary + Homogeneity,0,174.02334455566256
weak,2,Stationary + Homogeneity,1,178.50848901878587
weak,2,Stationary + Homogeneity,2,180.72683554146113
weak,3,Stationary + Homogeneity,0,174.06148189521826
weak,3,Stationary + Homogeneity,1,176.49894186883856
weak,3,Stationary + Homogeneity,2,185.35940134005637
weak,4,Stationary + Homogeneity,0,173.5168843529643
weak,4,Stationary + Homogeneity,1,176.55375140413764
weak,4,Stationary + Homogeneity,2,179.42434577209232
weak,5,Stationary + Homogeneity,0,174.55740918671526
weak,5,Stationary + Homogeneity,1,178.69777525207112
weak,5,Stationary + Homogeneity,2,186.68568470783757
weak,6,Stationary + Homogeneity,0,174.76991998909506
weak,6,Stationary + Homogeneity,1,176.84486320519102
weak,6,Stationary + Homogeneity,2,181.00825284570644
weak,7,Stationary + Homogeneity,0,175.07798895916937
weak,7,Stationary + Homogeneity,1,176.6596160554818
weak,7,Stationary + Homogeneity,2,180.0134590899184
weak,8,Stationary + Homogeneity,0,174.8487979677607
weak,8,Stationary + Homogeneity,1,177.7628514527864
weak,8,Stationary + Homogeneity,2,180.8653320325372
weak,9,Stationary + Homogeneity,0,174.93930593795082
weak,9,Stationary + Homogeneity,1,177.46146364273918
weak,9,Stationary + Homogeneity,2,179.97201298809097
weak,10,Stationary + Homogeneity,0,173.84825799468635
weak,10,Stationary + Homogeneity,1,176.9172975678946
weak,10,Stationary + Homogeneity,2,181.3558874408513
weak,11,Stationary + Homogeneity,0,175.4898974270674
weak,11,Stationary + Homogeneity,1,177.30985223633922
weak,11,Stationary + Homogeneity,2,179.49353832298783
weak,12,Stationary + Homogeneity,0,174.27501789154326
weak,12,Stationary + Homogeneity,1,178.20816788855677
weak,12,Stationary + Homogeneity,2,180.4412878249458
weak,13,Stationary + Homogeneity,0,174.9245741385079
weak,13,Stationary + Homogeneity,1,177.9554968664929
weak,13,Stationary + Homogeneity,2,180.03925074936996
weak,14,Stationary + Homogeneity,0,174.9003188503717
weak,14,Stationary + Homogeneity,1,178.22893816844936
weak,14,Stationary + Homogeneity,2,179.06212351935002
weak,15,Stationary + Homogeneity,0,174.74670556127487
weak,15,Stationary + Homogeneity,1,175.8884038622067
weak,15,Stationary + Homogeneity,2,181.2537911405643
weak,16,Stationary + Homogeneity,0,175.53094187128562
weak,16,Stationary + Homogeneity,1,177.3415408416097
weak,16,Stationary + Homogeneity,2,179.95691695387896
weak,17,Stationary + Homogeneity,0,174.9110392852746
weak,17,Stationary + Homogeneity,1,176.74719987396796
weak,17,Stationary + Homogeneity,2,179.8437139779728
weak,18,Stationary + Homogeneity,0,175.082926981369
weak,18,Stationary + Homogeneity,1,176.84367767286594
weak,18,Stationary + Homogeneity,2,180.41943875082882
weak,19,Stationary + Homogeneity,0,174.5478211168872
weak,19,Stationary + Homogeneity,1,176.54961741618587
weak,19,Stationary + Homogeneity,2,182.39308625734432
weak,20,Stationary + Homogeneity,0,174.93677038380315
weak,20,Stationary + Homogeneity,1,177.72466496522873
weak,20,Stationary + Homogeneity,2,179.74080735884343
weak,21,Stationary + Homogeneity,0,174.78751779910132
weak,21,Stationary + Homogeneity,1,177.15617330105587
weak,21,Stationary + Homogeneity,2,181.40523513659784
weak,22,Stationary + Homogeneity,0,174.78056850664063
weak,22,Stationary + Homogeneity,1,175.77618688455834
weak,22,Stationary + Homogeneity,2,180.45876614445334
weak,23,Stationary + Homogeneity,0,174.72171435826922
weak,23,Stationary + Homogeneity,1,177.30685650262333
weak,23,Stationary + Homogeneity,2,180.1615385513792
weak,24,Stationary + Homogeneity,0,174.4023860237785
weak,24,Stationary + Homogeneity,1,176.16666384435462
weak,24,Stationary + Homogeneity,2,180.8877013049088
weak,25,Stationary + Homogeneity,0,173.65535177864976
weak,25,Stationary + Homogeneity,1,176.5278454109323
weak,25,Stationary + Homogeneity,2,180.77820970713464
weak,26,Stationary + Homogeneity,0,175.27972466457513
weak,26,Stationary + Homogeneity,1,176.83892858863948
weak,26,Stationary + Homogeneity,2,180.04647059744227
weak,27,Stationary + Homogeneity,0,174.93585790813395
weak,27,Stationary + Homogeneity,1,176.35256801923737
weak,27,Stationary + Homogeneity,2,179.43618580740383
weak,28,Stationary + Homogeneity,0,175.20282890886818
weak,28,Stationary + Homogeneity,1,177.45012780795602
weak,28,Stationary + Homogeneity,2,180.04320029964998
weak,29,Stationary + Homogeneity,0,175.4629136765256
weak,29,Stationary + Homogeneity,1,175.39803038067396
weak,29,Stationary + Homogeneity,2,179.40599041725173
weak,30,Stationary + Homogeneity,0,175.08814229580744
weak,30,Stationary + Homogeneity,1,176.65348326490206
weak,30,Stationary + Homogeneity,2,181.16068413491405
weak,3,Random,0,181.42313805117578
weak,3,Random,1,179.0188539154522
weak,3,Random,2,172.96202964390733
weak,4,Random,0,180.76095100163718
weak,4,Random,1,181.58084283655387
weak,4,Random,2,177.95720165845398
weak,9,Random,0,184.3009392353487
weak,9,Random,1,182.15724495495334
weak,9,Random,2,177.9005275956086
weak,14,Random,0,178.33473797682052
weak,14,Random,1,181.92029168386085
weak,14,Random,2,177.9860899817148
weak,16,Random,0,179.61225089034
weak,16,Random,1,182.77565683407792
weak,16,Random,2,179.23327560639387
weak,18,Random,0,183.6238013676021
weak,18,Random,1,182.29413286816987
weak,18,Random,2,178.07028950161978
weak,23,Random,0,181.91514803844944
weak,23,Random,1,181.1890253916129
weak,23,Random,2,180.0880778327945
weak,24,Random,0,180.12107500483813
weak,24,Random,1,180.20237935204395
weak,24,Random,2,178.8838647358799
weak,25,Random,0,182.65049566816387
weak,25,Random,1,183.16261033859453
weak,25,Random,2,179.03888139703236
weak,26,Random,0,182.30578615638652
weak,26,Random,1,180.994130033204
weak,26,Random,2,179.53579580667807
weak,29,Random,0,174.8835082771731
weak,29,Random,1,180.28040538452802
weak,29,Random,2,179.19756773043733
