Size of Change,Seed,Method,Cluster,Value
strong,2,Oracle,1,235.98751168672723
strong,2,Oracle,2,359.3840855910418
strong,3,Oracle,0,316.188332040448
strong,3,Oracle,1,232.74700931921615
strong,3,Oracle,2,358.1469166441227
strong,4,Oracle,0,319.05557208969384
strong,4,Oracle,1,242.10211969114206
strong,4,Oracle,2,358.5929900349643
strong,5,Oracle,0,317.946586480689
strong,5,Oracle,1,244.26652938309053
strong,5,Oracle,2,359.0095844210856
strong,6,Oracle,0,317.6899263555741
strong,6,Oracle,1,233.966156861157
strong,6,Oracle,2,360.0767629870026
strong,7,Oracle,0,317.3226756981383
strong,7,Oracle,1,236.59521950238127
strong,7,Oracle,2,361.9318918417432
strong,8,Oracle,0,318.0909540888132
strong,8,Oracle,1,234.60771499528948
strong,8,Oracle,2,359.9155784525319
strong,9,Oracle,0,318.19237005419086
strong,9,Oracle,1,243.18068123078928
strong,9,Oracle,2,359.30083555774223
strong,10,Oracle,0,317.6400888772474
strong,10,Oracle,1,247.80802947165955
strong,10,Oracle,2,358.2057493316011
strong,11,Oracle,0,317.3128000485173
strong,11,Oracle,1,238.4713974201615
strong,11,Oracle,2,359.8515856865212
strong,12,Oracle,0,316.76178611646463
strong,12,Oracle,1,239.87120209146423
strong,12,Oracle,2,359.1646787229212
strong,13,Oracle,0,317.02724500508816
strong,13,Oracle,1,240.00530393575602
strong,13,Oracle,2,358.81023734367744
strong,14,Oracle,0,318.40434070729003
strong,14,Oracle,1,257.0786183769597
strong,14,Oracle,2,360.2537659899013
strong,15,Oracle,0,317.51542613574804
strong,15,Oracle,1,251.23949718486517
strong,15,Oracle,2,359.5861550838617
strong,16,Oracle,0,317.1031193143792
strong,16,Oracle,1,243.18265095788658
strong,16,Oracle,2,359.4658137183012
strong,17,Oracle,0,317.84502114566413
strong,17,Oracle,1,238.0274571873878
strong,17,Oracle,2,359.06907957606586
strong,18,Oracle,0,318.6047443821308
strong,18,Oracle,1,250.19258170469186
strong,18,Oracle,2,361.35312920794155
strong,19,Oracle,0,317.66423352471634
strong,19,Oracle,1,244.52321914534645
strong,19,Oracle,2,360.16636354508273
strong,20,Oracle,0,318.5859455143178
strong,20,Oracle,1,239.06784517105459
strong,20,Oracle,2,360.0193553260015
strong,21,Oracle,0,317.48888455303074
strong,21,Oracle,1,234.58888495631123
strong,21,Oracle,2,360.11751546374137
strong,22,Oracle,0,317.5409422038569
strong,22,Oracle,1,397.6217159599323
strong,22,Oracle,2,359.95576083415136
strong,23,Oracle,0,317.6266171439962
strong,23,Oracle,1,234.4972845140062
strong,23,Oracle,2,360.81177047862764
strong,24,Oracle,0,317.9491740381151
strong,24,Oracle,1,236.86345365827597
strong,24,Oracle,2,360.0105901932465
strong,25,Oracle,0,317.1178525179063
strong,25,Oracle,1,238.33403503541706
strong,25,Oracle,2,359.9273973264973
strong,26,Oracle,0,318.10219956166753
strong,26,Oracle,1,235.2750432477391
strong,26,Oracle,2,360.63585145366
strong,27,Oracle,0,317.4733850831389
strong,27,Oracle,1,232.51055186550226
strong,27,Oracle,2,359.7570369501922
strong,28,Oracle,0,316.61345285122786
strong,28,Oracle,1,237.75961108942326
strong,28,Oracle,2,359.7585388165816
strong,29,Oracle,0,318.3277209505604
strong,29,Oracle,1,250.73009394100401
strong,29,Oracle,2,358.39606655686805
strong,30,Oracle,0,318.09571568953544
strong,30,Oracle,1,238.6219289830311
strong,30,Oracle,2,360.7140400533497
strong,1,Stationary + Homogeneity,0,179.24087047303775
strong,1,Stationary + Homogeneity,1,179.98547263880377
strong,1,Stationary + Homogeneity,2,359.6085899911853
strong,2,Stationary + Homogeneity,0,179.48075301850673
strong,2,Stationary + Homogeneity,1,230.4948801679642
strong,2,Stationary + Homogeneity,2,358.99345591153906
strong,3,Stationary + Homogeneity,0,173.58585963162443
strong,3,Stationary + Homogeneity,1,239.8353779431688
strong,3,Stationary + Homogeneity,2,359.34969740283225
strong,4,Stationary + Homogeneity,0,181.600163717268
strong,4,Stationary + Homogeneity,1,217.43580689843168
strong,4,Stationary + Homogeneity,2,359.84609673122577
strong,5,Stationary + Homogeneity,0,182.88209071308276
strong,5,Stationary + Homogeneity,1,182.08105887460525
strong,5,Stationary + Homogeneity,2,360.2725287413759
strong,6,Stationary + Homogeneity,0,180.48473097449997
strong,6,Stationary + Homogeneity,1,189.1789181505682
strong,6,Stationary + Homogeneity,2,359.9304791908777
strong,7,Stationary + Homogeneity,0,176.3848747670798
strong,7,Stationary + Homogeneity,1,206.6561690344384
strong,7,Stationary + Homogeneity,2,360.46455077917244
strong,8,Stationary + Homogeneity,0,176.47832148602222
strong,8,Stationary + Homogeneity,1,186.46931059923793
strong,8,Stationary + Homogeneity,2,360.0752742525611
strong,9,Stationary + Homogeneity,0,174.14040183358497
strong,9,Stationary + Homogeneity,1,200.7967529366861
strong,9,Stationary + Homogeneity,2,359.2781164662949
strong,10,Stationary + Homogeneity,0,185.3338598105433
strong,10,Stationary + Homogeneity,1,180.3782783441762
strong,10,Stationary + Homogeneity,2,360.15149626223445
strong,11,Stationary + Homogeneity,0,171.8216354157239
strong,11,Stationary + Homogeneity,1,197.62075892457622
strong,11,Stationary + Homogeneity,2,358.6117090591503
strong,12,Stationary + Homogeneity,0,180.5921177143265
strong,12,Stationary + Homogeneity,1,214.3467234124619
strong,12,Stationary + Homogeneity,2,359.8930910072984
strong,13,Stationary + Homogeneity,0,177.2618994280794
strong,13,Stationary + Homogeneity,1,208.05670374316128
strong,13,Stationary + Homogeneity,2,361.06264685749034
strong,14,Stationary + Homogeneity,0,173.62774654870285
strong,14,Stationary + Homogeneity,1,186.4679137504432
strong,14,Stationary + Homogeneity,2,360.02091123113246
strong,15,Stationary + Homogeneity,0,176.21176503955598
strong,15,Stationary + Homogeneity,1,209.73370765049535
strong,15,Stationary + Homogeneity,2,359.5477901327168
strong,16,Stationary + Homogeneity,0,184.22151841061867
strong,16,Stationary + Homogeneity,1,191.90085910419177
strong,16,Stationary + Homogeneity,2,359.1276013017414
strong,17,Stationary + Homogeneity,0,177.8042498533905
strong,17,Stationary + Homogeneity,1,190.09302458217206
strong,17,Stationary + Homogeneity,2,358.15086993020765
strong,18,Stationary + Homogeneity,0,182.75750296413972
strong,18,Stationary + Homogeneity,1,193.63020268049289
strong,18,Stationary + Homogeneity,2,359.1866082491592
strong,19,Stationary + Homogeneity,0,176.41998979087373
strong,19,Stationary + Homogeneity,1,191.31284988939063
strong,19,Stationary + Homogeneity,2,360.6754316237443
strong,20,Stationary + Homogeneity,0,184.49391302096333
strong,20,Stationary + Homogeneity,1,194.35549194612148
strong,20,Stationary + Homogeneity,2,359.7127310398813
strong,21,Stationary + Homogeneity,0,185.2130827770417
strong,21,Stationary + Homogeneity,1,192.4468235486146
strong,21,Stationary + Homogeneity,2,360.3647079826337
strong,22,Stationary + Homogeneity,0,181.43672682255183
strong,22,Stationary + Homogeneity,1,183.48238081357596
strong,22,Stationary + Homogeneity,2,358.3016201295641
strong,23,Stationary + Homogeneity,0,184.731742970598
