Setting,seed,init,Average Value,Discounted Value
smooth,13,proposed,0.5298789973928433,5.752193645262504
smooth,14,proposed,0.5430497716593623,6.616636500463316
smooth,15,proposed,0.46698110219971367,5.39877516795123
smooth,16,proposed,0.6248331856162006,6.944095450113224
smooth,17,proposed,0.697826493477236,5.918141411578201
smooth,18,proposed,0.4777162312029163,8.747125119117223
smooth,19,proposed,0.6711356141001659,6.937210852416831
smooth,0,oracle,0.6065184192264362,6.257428057369019
smooth,1,oracle,0.7066897230396594,6.701824041846083
smooth,2,oracle,0.5291751559566809,5.902645595874798
smooth,3,oracle,0.4228096982753099,4.860114028157094
smooth,4,oracle,0.4450352742986192,6.6298182104312495
smooth,5,oracle,0.756857440795275,7.090547033648132
smooth,6,oracle,0.25782290832607074,5.679168653430822
smooth,7,oracle,0.828175541115097,7.158159090194529
smooth,8,oracle,0.6712321771045762,5.302764232151402
smooth,9,oracle,0.805471052106227,6.258910447363884
smooth,10,oracle,0.4802371198501262,6.070669498079505
smooth,11,oracle,0.4659927542564048,6.244586498369951
smooth,12,oracle,0.4136109766684413,6.223662405477435
smooth,13,oracle,0.490758313181777,5.5741495663693446
smooth,14,oracle,0.5351535533897978,6.663282064975339
smooth,15,oracle,0.5814729899840988,4.989013678271218
smooth,16,oracle,0.7262875597282372,6.465945207646387
smooth,17,oracle,0.7589434193519723,6.925501525046594
smooth,18,oracle,0.1342642880126545,7.030438859825014
smooth,19,oracle,0.9542569957627134,7.610557355052017
smooth,0,only_cp,0.6105812219984624,7.891740221648848
smooth,1,only_cp,0.547211182372707,5.950663406613347
smooth,2,only_cp,0.6677511034527607,6.774577001396901
smooth,3,only_cp,0.4167334247035545,5.1780518983093
smooth,4,only_cp,0.3923341551056254,7.053172743629341
smooth,5,only_cp,0.39129224771754495,6.381700228174553
smooth,6,only_cp,0.26900244224100067,6.255150135436736
smooth,7,only_cp,0.5588094450699365,6.578029794287765
smooth,8,only_cp,0.5575118876547417,6.838325221387226
smooth,9,only_cp,0.6770717517962781,6.0808924750512725
smooth,10,only_cp,0.34341781812721606,5.855199908747714
smooth,11,only_cp,0.30719197132454096,6.013695025982333
smooth,12,only_cp,0.5018242736030886,7.707181069303793
smooth,13,only_cp,0.4896200812978392,5.995533537055402
smooth,14,only_cp,0.43933573225512096,6.486811330204176
smooth,15,only_cp,0.487605937623724,7.181590216134664
smooth,16,only_cp,0.550172650366926,7.732765926933374
smooth,17,only_cp,0.697677461080363,5.572748251303128
smooth,18,only_cp,0.3112144172769701,5.666595383285608
smooth,19,only_cp,0.6012921289493489,6.889420026253284
smooth,0,only_clusters,0.7364629675284615,7.952304673190368
smooth,1,only_clusters,0.7134835539656788,6.670869687505137
smooth,2,only_clusters,0.7424332212059787,7.497481034708962
smooth,3,only_clusters,0.5824012579037934,5.306201774628914
smooth,4,only_clusters,0.6083552676977417,6.654324556008284
smooth,5,only_clusters,0.778160111711875,6.820253434817954
smooth,6,only_clusters,0.37216352994857255,4.987166061883732
smooth,7,only_clusters,0.8940669955104857,7.104309615786649
smooth,8,only_clusters,0.8065035485538103,6.4807246086557795
smooth,9,only_clusters,0.876015052342827,6.866001421109096
smooth,10,only_clusters,0.5031084010217599,8.204922120205275
smooth,11,only_clusters,0.4945268960434981,7.092165024327642
smooth,12,only_clusters,0.5822060450998616,6.178336056844824
smooth,13,only_clusters,0.6608884763159008,7.1488826384091375
smooth,14,only_clusters,0.6306349353561505,6.400460784014351
smooth,15,only_clusters,0.6338917372087397,5.50287834069597
smooth,16,only_clusters,0.7711697135852627,6.45800733014249
smooth,17,only_clusters,0.873527571792391,6.080814542922873
smooth,18,only_clusters,0.5373145960026725,8.707659397241988
smooth,19,only_clusters,0.9439494036369479,7.376501156122711
smooth,0,overall,0.7364629675284615,7.952304673190368
smooth,1,overall,0.7134835539656788,6.670869687505137
smooth,2,overall,0.7424332212059787,7.497481034708962
smooth,3,overall,0.5824012579037934,5.306201774628914
smooth,4,overall,0.6083552676977417,6.654324556008284
smooth,5,overall,0.778160111711875,6.820253434817954
smooth,6,overall,0.37216352994857255,4.987166061883732
smooth,7,overall,0.8940669955104857,7.104309615786649
smooth,8,overall,0.8065035485538103,6.4807246086557795
smooth,9,overall,0.876015052342827,6.866001421109096
smooth,10,overall,0.5031084010217599,8.204922120205275
smooth,11,overall,0.4945268960434981,7.092165024327642
smooth,12,overall,0.5822060450998616,6.178336056844824
smooth,13,overall,0.6608884763159008,7.1488826384091375
smooth,14,overall,0.6306349353561505,6.400460784014351
smooth,15,overall,0.6338917372087397,5.50287834069597
smooth,16,overall,0.7711697135852627,6.45800733014249
smooth,17,overall,0.873527571792391,6.080814542922873
smooth,18,overall,0.5373145960026725,8.707659397241988
smooth,19,overall,0.9439494036369479,7.376501156122711
